Campaign,Ad Group,Final URL,Day Schedule,Keyword,Match Type,Launch Action
SL - Garage Door Repair - Search,Core Repair,https://securelifts.com/ads/garage-door-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door repair near me,Exact,Enable
SL - Garage Door Repair - Search,Core Repair,https://securelifts.com/ads/garage-door-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door repair,Exact,Enable
SL - Garage Door Repair - Search,Core Repair,https://securelifts.com/ads/garage-door-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door service near me,Exact,Enable
SL - Garage Door Repair - Search,Core Repair,https://securelifts.com/ads/garage-door-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door service,Phrase,Enable
SL - Garage Door Repair - Search,Core Repair,https://securelifts.com/ads/garage-door-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door repair miami,Phrase,Enable
SL - Garage Door Repair - Search,Core Repair,https://securelifts.com/ads/garage-door-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door repair fort lauderdale,Phrase,Enable
SL - Garage Door Repair - Search,Core Repair,https://securelifts.com/ads/garage-door-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door repair west palm beach,Phrase,Enable
SL - Garage Door Repair - Search,Core Repair,https://securelifts.com/ads/garage-door-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door repair broward,Phrase,Enable
SL - Garage Door Repair - Search,Core Repair,https://securelifts.com/ads/garage-door-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door repair palm beach,Phrase,Enable
SL - Garage Door Repair - Search,Stuck Door,https://securelifts.com/ads/garage-door-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door stuck,Phrase,Enable
SL - Garage Door Repair - Search,Stuck Door,https://securelifts.com/ads/garage-door-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door will not open,Phrase,Enable
SL - Garage Door Repair - Search,Stuck Door,https://securelifts.com/ads/garage-door-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door won't open,Phrase,Enable
SL - Garage Door Repair - Search,Stuck Door,https://securelifts.com/ads/garage-door-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door will not close,Phrase,Enable
SL - Garage Door Repair - Search,Stuck Door,https://securelifts.com/ads/garage-door-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door won't close,Phrase,Enable
SL - Garage Door Repair - Search,Stuck Door,https://securelifts.com/ads/garage-door-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",same day garage door repair,Phrase,Enable
SL - Garage Door Repair - Search,Stuck Door,https://securelifts.com/ads/garage-door-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",emergency garage door repair,Exact,Enable
SL - Broken Spring Repair - Search,Broken Spring,https://securelifts.com/ads/broken-spring-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",broken garage door spring,Exact,Enable
SL - Broken Spring Repair - Search,Broken Spring,https://securelifts.com/ads/broken-spring-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door spring broke,Phrase,Enable
SL - Broken Spring Repair - Search,Broken Spring,https://securelifts.com/ads/broken-spring-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door spring repair,Exact,Enable
SL - Broken Spring Repair - Search,Broken Spring,https://securelifts.com/ads/broken-spring-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door spring repair near me,Exact,Enable
SL - Broken Spring Repair - Search,Broken Spring,https://securelifts.com/ads/broken-spring-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door spring replacement,Phrase,Enable
SL - Broken Spring Repair - Search,Broken Spring,https://securelifts.com/ads/broken-spring-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door torsion spring repair,Phrase,Enable
SL - Broken Spring Repair - Search,Broken Spring,https://securelifts.com/ads/broken-spring-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door spring replacement miami,Phrase,Enable
SL - Broken Spring Repair - Search,Broken Spring,https://securelifts.com/ads/broken-spring-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door spring replacement fort lauderdale,Phrase,Enable
SL - Broken Spring Repair - Search,Broken Spring,https://securelifts.com/ads/broken-spring-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door spring replacement west palm beach,Phrase,Enable
SL - Broken Spring Repair - Search,Heavy Door,https://securelifts.com/ads/broken-spring-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door too heavy to lift,Phrase,Enable
SL - Broken Spring Repair - Search,Heavy Door,https://securelifts.com/ads/broken-spring-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door cable and spring repair,Phrase,Enable
SL - Broken Spring Repair - Search,Heavy Door,https://securelifts.com/ads/broken-spring-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door stuck broken spring,Phrase,Enable
SL - Garage Door Opener Repair - Search,Opener Repair,https://securelifts.com/ads/garage-door-opener-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door opener repair,Exact,Enable
SL - Garage Door Opener Repair - Search,Opener Repair,https://securelifts.com/ads/garage-door-opener-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door opener repair near me,Exact,Enable
SL - Garage Door Opener Repair - Search,Opener Repair,https://securelifts.com/ads/garage-door-opener-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage opener repair,Phrase,Enable
SL - Garage Door Opener Repair - Search,Opener Repair,https://securelifts.com/ads/garage-door-opener-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door motor repair,Phrase,Enable
SL - Garage Door Opener Repair - Search,Opener Repair,https://securelifts.com/ads/garage-door-opener-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",liftmaster garage door opener repair,Phrase,Enable
SL - Garage Door Opener Repair - Search,Opener Repair,https://securelifts.com/ads/garage-door-opener-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",chamberlain garage door opener repair,Phrase,Enable
SL - Garage Door Opener Repair - Search,Opener Not Working,https://securelifts.com/ads/garage-door-opener-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door opener not working,Phrase,Enable
SL - Garage Door Opener Repair - Search,Opener Not Working,https://securelifts.com/ads/garage-door-opener-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door remote not working,Phrase,Enable
SL - Garage Door Opener Repair - Search,Opener Not Working,https://securelifts.com/ads/garage-door-opener-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door keypad not working,Phrase,Enable
SL - Garage Door Opener Repair - Search,Opener Not Working,https://securelifts.com/ads/garage-door-opener-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door sensor repair,Phrase,Enable
SL - Garage Door Opener Repair - Search,Opener Not Working,https://securelifts.com/ads/garage-door-opener-repair,"Mon-Sat 6:00 AM-6:00 PM; Sun Off",garage door reverses when closing,Phrase,Enable
