priority,tier,platform,status,profile_url,login_owner,nap_match,category_match,service_area_match,photos_needed,reviews_needed,tracking_url,ghl_source_tag,next_action,notes
1,Search and map foundation,Google Business Profile,GHL Match,,,Match,Needs Audit,Needs Audit,Yes,Yes,https://securelifts.com/?utm_source=google_business_profile&utm_medium=local_listing&utm_campaign=authority_presence,src-google-business-profile,Audit category photos reviews and booking URL,GHL scan showed name phone and address match
2,Search and map foundation,Bing Places,Not Started,,,Unknown,Unknown,Unknown,Yes,Yes,https://securelifts.com/?utm_source=bing_places&utm_medium=local_listing&utm_campaign=authority_presence,src-bing-places,Claim or create listing after NAP is confirmed,
3,Search and map foundation,Apple Business Connect,Not Started,,,Unknown,Unknown,Unknown,Yes,Yes,https://securelifts.com/?utm_source=apple_business_connect&utm_medium=local_listing&utm_campaign=authority_presence,src-apple-business-connect,Claim or create listing after NAP is confirmed,
4,Review and social,Yelp,GHL No Match,,,No Match,Unknown,Unknown,Yes,Yes,https://securelifts.com/?utm_source=yelp&utm_medium=local_listing&utm_campaign=authority_presence,src-yelp,Create or claim listing with standard NAP,GHL scan showed no match
5,Trust and identity,BBB,Needs Review,,,Needs Audit,Needs Audit,Needs Audit,Yes,Yes,https://securelifts.com/?utm_source=bbb&utm_medium=local_listing&utm_campaign=authority_presence,src-bbb,Audit existing public listing and reconcile old data,
6,Trust and identity,Chamber of Commerce,GHL No Match,,,No Match,Unknown,Unknown,Yes,Yes,https://securelifts.com/?utm_source=chamber&utm_medium=local_listing&utm_campaign=authority_presence,src-chamber,Audit existing public listing and reconcile old data,GHL scan checked ChamberofCommerce.com and showed no match
7,Review and social,Facebook,GHL Partial Match,,,Partial Match,Needs Audit,Needs Audit,Yes,Yes,https://securelifts.com/?utm_source=facebook&utm_medium=social_profile&utm_campaign=authority_presence,src-facebook-message,Add or correct phone and confirm profile URL,GHL scan found name/address but phone unavailable
8,Review and social,Instagram,Needs Review,,,Needs Audit,Needs Audit,Needs Audit,Yes,Yes,https://securelifts.com/?utm_source=instagram&utm_medium=social_profile&utm_campaign=authority_presence,src-instagram-message,Confirm profile URL and link-in-bio destination,
9,Review and social,LinkedIn Company Page,Not Started,,,Unknown,Unknown,Unknown,Yes,No,https://securelifts.com/?utm_source=linkedin&utm_medium=social_profile&utm_campaign=authority_presence,src-linkedin,Claim or create company page if missing,
10,Review and social,Nextdoor,Not Started,,,Unknown,Unknown,Unknown,Yes,Yes,https://securelifts.com/?utm_source=nextdoor&utm_medium=local_listing&utm_campaign=authority_presence,src-nextdoor,Claim or create business page,
11,Home and service marketplace,Angi,Not Started,,,Unknown,Unknown,Unknown,Yes,Yes,https://securelifts.com/book-service?utm_source=angi&utm_medium=service_marketplace&utm_campaign=authority_presence,src-angi,Verify listing rules and cost before activation,
12,Home and service marketplace,HomeAdvisor,Not Started,,,Unknown,Unknown,Unknown,Yes,Yes,https://securelifts.com/book-service?utm_source=homeadvisor&utm_medium=service_marketplace&utm_campaign=authority_presence,src-homeadvisor,Verify listing rules and cost before activation,
13,Home and service marketplace,Thumbtack,Not Started,,,Unknown,Unknown,Unknown,Yes,Yes,https://securelifts.com/book-service?utm_source=thumbtack&utm_medium=service_marketplace&utm_campaign=authority_presence,src-thumbtack,Create/claim only after service/pricing rules are ready,
14,Home and service marketplace,Houzz,Not Started,,,Unknown,Unknown,Unknown,Yes,Yes,https://securelifts.com/?utm_source=houzz&utm_medium=service_marketplace&utm_campaign=authority_presence,src-houzz,Claim or create profile with installation photos,
15,Home and service marketplace,Porch,Not Started,,,Unknown,Unknown,Unknown,Yes,Yes,https://securelifts.com/?utm_source=porch&utm_medium=service_marketplace&utm_campaign=authority_presence,src-porch,Verify value before investing time,
16,Data and citation network,Foursquare,Not Started,,,Unknown,Unknown,Unknown,Yes,No,https://securelifts.com/?utm_source=foursquare&utm_medium=citation&utm_campaign=authority_presence,src-foursquare,Claim/create citation after NAP lock,
17,Data and citation network,Data Axle,Not Started,,,Unknown,Unknown,Unknown,No,No,https://securelifts.com/?utm_source=data_axle&utm_medium=citation&utm_campaign=authority_presence,src-data-axle,Verify current submission path before action,
18,Data and citation network,MapQuest,GHL No Match,,,No Match,Unknown,Unknown,Yes,No,https://securelifts.com/?utm_source=mapquest&utm_medium=citation&utm_campaign=authority_presence,src-mapquest,Create or claim listing if direct claim path exists,GHL scan showed no match
19,Garage door and construction niche,Clopay Dealer Resources,Eligibility Needed,,,Unknown,Unknown,Unknown,Yes,Yes,https://securelifts.com/?utm_source=clopay&utm_medium=dealer_listing&utm_campaign=authority_presence,src-clopay,Use only if SecureLifts qualifies,
20,Garage door and construction niche,LiftMaster Dealer Locator,Eligibility Needed,,,Unknown,Unknown,Unknown,Yes,Yes,https://securelifts.com/?utm_source=liftmaster&utm_medium=dealer_listing&utm_campaign=authority_presence,src-liftmaster,Use only if SecureLifts qualifies,
21,Garage door and construction niche,Best Pick Reports,Needs Review,,,Unknown,Unknown,Unknown,Yes,Yes,https://securelifts.com/?utm_source=best_pick_reports&utm_medium=local_listing&utm_campaign=authority_presence,src-best-pick-reports,Check cost/value before proceeding,
22,Trust and identity,Miami-Dade Local Chamber,Not Started,,,Unknown,Unknown,Unknown,Yes,No,https://securelifts.com/?utm_source=miami_dade_chamber&utm_medium=local_listing&utm_campaign=authority_presence,src-miami-dade-chamber,Pick the best local chamber fit,
23,Trust and identity,Broward Local Chamber,Not Started,,,Unknown,Unknown,Unknown,Yes,No,https://securelifts.com/?utm_source=broward_chamber&utm_medium=local_listing&utm_campaign=authority_presence,src-broward-chamber,Pick the best local chamber fit,
24,Trust and identity,Palm Beach Local Chamber,Not Started,,,Unknown,Unknown,Unknown,Yes,No,https://securelifts.com/?utm_source=palm_beach_chamber&utm_medium=local_listing&utm_campaign=authority_presence,src-palm-beach-chamber,Pick the best local chamber fit,
25,Data and citation network,Tellows,GHL No Match,,,No Match,Unknown,Unknown,No,No,https://securelifts.com/?utm_source=tellows&utm_medium=citation&utm_campaign=authority_presence,src-tellows,Create or suppress only if platform is worth managing,GHL scan showed no match
26,Data and citation network,ShowMeLocal,GHL Partial Match,,,Partial Match,Unknown,Unknown,Yes,No,https://securelifts.com/?utm_source=showmelocal&utm_medium=citation&utm_campaign=authority_presence,src-showmelocal,Claim and add phone address website,GHL scan found business name only
27,Data and citation network,Cylex,GHL Partial Match,,,Partial Match,Unknown,Unknown,Yes,No,https://securelifts.com/?utm_source=cylex&utm_medium=citation&utm_campaign=authority_presence,src-cylex,Claim and add business name address website,GHL scan found phone only
28,Data and citation network,Brownbook.net,GHL Partial Match - Wrong Phone,,,Wrong Phone,Unknown,Unknown,Yes,No,https://securelifts.com/?utm_source=brownbook&utm_medium=citation&utm_campaign=authority_presence,src-brownbook,Correct old phone 8668981818 to 8668281818,GHL scan found old phone 8668981818
29,Data and citation network,HotFrog,GHL Partial Match,,,Partial Match,Unknown,Unknown,Yes,No,https://securelifts.com/?utm_source=hotfrog&utm_medium=citation&utm_campaign=authority_presence,src-hotfrog,Claim and add phone address website,GHL scan found business name only
30,Data and citation network,n49,GHL No Match,,,No Match,Unknown,Unknown,No,No,https://securelifts.com/?utm_source=n49&utm_medium=citation&utm_campaign=authority_presence,src-n49,Create only if it has US value,GHL scan showed no match
31,Data and citation network,iGlobal,GHL No Match,,,No Match,Unknown,Unknown,No,No,https://securelifts.com/?utm_source=iglobal&utm_medium=citation&utm_campaign=authority_presence,src-iglobal,Create or suppress only if worth managing,GHL scan showed no match
32,Data and citation network,My Local Services,GHL No Match,,,No Match,Unknown,Unknown,No,No,https://securelifts.com/?utm_source=my_local_services&utm_medium=citation&utm_campaign=authority_presence,src-my-local-services,Create or suppress only if worth managing,GHL scan showed no match
33,Data and citation network,USCity,GHL No Match,,,No Match,Unknown,Unknown,No,No,https://securelifts.com/?utm_source=uscity&utm_medium=citation&utm_campaign=authority_presence,src-uscity,Create or suppress only if worth managing,GHL scan showed no match
34,Data and citation network,Navmii,GHL No Match,,,No Match,Unknown,Unknown,No,No,https://securelifts.com/?utm_source=navmii&utm_medium=citation&utm_campaign=authority_presence,src-navmii,Create or suppress only if worth managing,GHL scan showed no match
35,Data and citation network,Where To?,GHL Match,,,Match,Unknown,Unknown,No,No,https://securelifts.com/?utm_source=where_to&utm_medium=citation&utm_campaign=authority_presence,src-where-to,Audit website category and photos if editable,GHL scan showed name phone and address match
