Date,Affected pages
2026-06-11,56
2026-06-12,139
2026-06-13,139
2026-06-14,139
2026-06-15,139
2026-06-16,139
2026-06-17,139
2026-06-18,139
2026-06-19,139
2026-06-20,139
2026-06-21,139
2026-06-22,139
2026-06-23,139
2026-06-24,139
2026-06-25,139
2026-06-26,139
2026-06-27,139
2026-06-28,139
2026-06-29,139
2026-06-30,191
2026-07-01,191
2026-07-02,191
2026-07-03,191
2026-07-04,191
2026-07-05,191
2026-07-06,191
2026-07-07,191
2026-07-08,191
2026-07-09,191
2026-07-10,185
2026-07-11,185
2026-07-12,185
2026-07-13,185
2026-07-14,185
2026-07-15,185
2026-07-16,185
2026-07-17,185
2026-07-18,185
2026-07-19,185
2026-07-20,185
2026-07-21,185
2026-07-22,185
2026-07-23,185
2026-07-24,185
2026-07-25,185
2026-07-26,185
2026-07-27,185
2026-07-28,185
2026-07-29,185
2026-07-30,185
2026-07-31,185
2026-08-01,185
2026-08-02,185
2026-08-03,185
2026-08-04,185
2026-08-05,189
2026-08-06,189
2026-08-07,189
2026-08-08,189
2026-08-09,189
2026-08-10,192
2026-08-11,192
2026-08-12,192
2026-08-13,192
2026-08-14,200
2026-08-15,200
2026-08-16,200
2026-08-17,203
2026-08-18,203
2026-08-19,203
2026-08-20,203
2026-08-21,199
2026-08-22,199
2026-08-23,199
2026-08-24,199
2026-08-25,199
2026-08-26,199
2026-08-27,199
2026-08-28,204
2026-08-29,204
2026-08-30,204
2026-08-31,204
2026-09-01,204
2026-09-02,204
2026-09-03,204
